sex,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,race,c_charge_degree,two_yr_recidivism
Female,48.0,0.0,0.0,0.0,5.0,African-American,Misdemeanor,No
Female,61.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
Male,28.0,0.0,0.0,0.0,7.0,African-American,Felony,Yes
Female,19.0,0.0,0.0,2.0,0.0,Caucasian,Misdemeanor,Yes
Female,37.0,0.0,0.0,0.0,2.0,African-American,Felony,No
Male,50.0,0.0,0.0,0.0,9.0,Caucasian,Felony,Yes
Female,31.0,0.0,0.0,0.0,1.0,African-American,Misdemeanor,Yes
Female,42.0,0.0,0.0,0.0,3.0,Caucasian,Misdemeanor,No
Male,23.0,0.0,2.0,0.0,0.0,African-American,Felony,Yes
Female,38.0,0.0,0.0,0.0,6.0,Caucasian,Felony,No
Female,26.0,0.0,0.0,0.0,4.0,African-American,Misdemeanor,Yes
Female,35.0,0.0,0.0,0.0,0.0,Caucasian,Felony,No
